Dipeptide,Proportion
RR,0.10738255033557047
RS,0.08053691275167785
SR,0.06040268456375839
GG,0.040268456375838924
PR,0.040268456375838924
SP,0.040268456375838924
SS,0.040268456375838924
RH,0.03355704697986577
HR,0.026845637583892617
AA,0.020134228187919462
DR,0.020134228187919462
GS,0.020134228187919462
PP,0.020134228187919462
AS,0.013422818791946308
DS,0.013422818791946308
ES,0.013422818791946308
HG,0.013422818791946308
KA,0.013422818791946308
KI,0.013422818791946308
PA,0.013422818791946308
RA,0.013422818791946308
RD,0.013422818791946308
SD,0.013422818791946308
SG,0.013422818791946308
SN,0.013422818791946308
VK,0.013422818791946308
AD,0.006711409395973154
AH,0.006711409395973154
AI,0.006711409395973154
AL,0.006711409395973154
AN,0.006711409395973154
AP,0.006711409395973154
AR,0.006711409395973154
DA,0.006711409395973154
DK,0.006711409395973154
DV,0.006711409395973154
DY,0.006711409395973154
EK,0.006711409395973154
EL,0.006711409395973154
EP,0.006711409395973154
EV,0.006711409395973154
GR,0.006711409395973154
GT,0.006711409395973154
HE,0.006711409395973154
HH,0.006711409395973154
HS,0.006711409395973154
IE,0.006711409395973154
II,0.006711409395973154
IL,0.006711409395973154
IV,0.006711409395973154
LA,0.006711409395973154
LD,0.006711409395973154
LR,0.006711409395973154
NA,0.006711409395973154
ND,0.006711409395973154
NR,0.006711409395973154
PH,0.006711409395973154
PS,0.006711409395973154
RE,0.006711409395973154
RG,0.006711409395973154
RP,0.006711409395973154
RY,0.006711409395973154
SE,0.006711409395973154
SH,0.006711409395973154
TD,0.006711409395973154
VE,0.006711409395973154
YP,0.006711409395973154
AC,0.0
AE,0.0
AF,0.0
AG,0.0
AK,0.0
AM,0.0
AQ,0.0
AT,0.0
AV,0.0
AW,0.0
AY,0.0
CA,0.0
CC,0.0
CD,0.0
CE,0.0
CF,0.0
CG,0.0
CH,0.0
CI,0.0
CK,0.0
CL,0.0
CM,0.0
CN,0.0
CP,0.0
CQ,0.0
CR,0.0
CS,0.0
CT,0.0
CV,0.0
CW,0.0
CY,0.0
DC,0.0
DD,0.0
DE,0.0
DF,0.0
DG,0.0
DH,0.0
DI,0.0
DL,0.0
DM,0.0
DN,0.0
DP,0.0
DQ,0.0
DT,0.0
DW,0.0
EA,0.0
EC,0.0
ED,0.0
EE,0.0
EF,0.0
EG,0.0
EH,0.0
EI,0.0
EM,0.0
EN,0.0
EQ,0.0
ER,0.0
ET,0.0
EW,0.0
EY,0.0
FA,0.0
FC,0.0
FD,0.0
FE,0.0
FF,0.0
FG,0.0
FH,0.0
FI,0.0
FK,0.0
FL,0.0
